fr,en
Itinéraire pédestre,WalkingTour
Itinéraire routier,RoadTour
Itinéraire sous-marin,UnderwaterRoute
Itinéraire touristique,Tour
Itinéraire VTT,MTBRouteTheme
Itinéraire vélo route,CycleRouteTheme
Itinéraire équestre,HorseTour
Jetée,Pier
"Jeu, concours",Game
Lac,Lake
Landes,Landes
Lavoir,WashHouse
Lecture,Reading
Lieu,Place
Lieu,PlaceOfInterest
Lieu de mémoire,RemembranceSite
Lieu de santé,MedicalPlace
Lieu de soins,HealthcarePlace
Lit,Bed
Location,Rental
Location de matériel,EquipmentRental
Location de salle,NonHousingRealEstateRental
Loueur de matériel,EquipmentRentalShop
Maison,House
"Maison de pays, produits du terroir",LocalProductsShop
Maison du tourisme,TourismCentre
Maison remarquable,RemarkableHouse
Marais,Swamp
Marché,Market
Meublés de tourisme,SelfCateringAccommodation
Mine,Mine
Mini golf,MiniGolf
"Monastère, prieuré",Monastery
Montagne,Mountain
Mosquée,Mosque
Moulin,Mill
Multiactivités,MultiActivity
Musée,Museum
"Mégalithes, menhirs et dolmens",MegalithDolmenMenhir
Nom d'itinéraire,RouteTheme
Négociant,Trader
Office de tourisme,LocalTouristOffice
Opéra,Opera
Organisme réceptif,IncomingTravelAgency
Palais,Palace
Palais des sports,SportsHall
"Parc de loisirs, parc à thème",ThemePark
Parc et jardin,ParkAndGarden
Parc naturel,NaturalPark
Parcours de Santé,FitnessPath
Parking,Parking
Patinoire,IceSkatingRink
"Patrimoine industriel, artisanal, rural, agricole et technique",TechnicalHeritage
Pelouse calcaire,ChalkyLawn
Personne,Person
Phare,Lighthouse
Pharmacie,Pharmacy
Pic,Peak
"Pierre, rocher",Stone
Pigeonnier,PigeonLoft
Piscine,SwimmingPool
Piste de chien de traineau,DogSleddingTrail
Piste de luge / bobsleigh,TobogganBobsleigh
Piste de luge d'été,SummerToboggan
Piste de roller ou de skate board,TrackRollerOrSkateBoard
Piste de ski alpin,DownhillSkiRun
Piste de ski de fond,CrossCountrySkiTrail
Pièce,RoomAmenity
Pièce de théâtre,TheaterEvent
Plage,Beach
Plaine,Plain
Plateau,Plateau
Point d'eau,WaterSource
Point d'intérêt,PointOfInterest
Point de vue,PointOfView
Pont,Bridge
Port de plaisance,Marina
Port maritime,Seaport
Portes ouvertes,OpenDay
Prairie,Grassland
Pratique,Practice
Pratique libre,FreePractice
Prestataire d'activité,ActivityProvider
Prestataire d'activité culturelle,CulturalActivityProvider
Prestataire d'activité sportive et de loisir,LeisureSportActivityProvider
Prestataire de service,ServiceProvider
Producteur,Producer
